,datetime,price_usd,twitter_followers,daily_opening_price_usd,daily_high_price_usd,daily_low_price_usd,daily_closing_price_usd,daily_avg_price_usd,marketcap_usd,nvt,circulation_1d,dormant_circulation_90d,exchange_balance,daily_active_addresses,network_growth,transaction_volume,velocity,dev_activity,dev_activity_contributors_count,sentiment_positive_total,sentiment_negative_total,sentiment_balance_total,social_dominance_total,social_volume_total,unique_social_volume_total_5m,whale_transaction_count_100k_usd_to_inf,whale_transaction_count_1m_usd_to_inf,btc_price_usd,eth_NFT_buyers,total_NFT_buyers,000001.SS,^GSPC,^IXIC,^N100,^NDX,daily transactions,volume_ETH,daily_trading_volume_ETH,eth_NFT_sales_ETH,total_NFT_sales_ETH,total_TVL_ETH,eth_TVL_ETH,fees_usd_ETH,mvrv_usd_ETH
22,2017-08-10,295.892,35188.34188034188,296.961,306.593,289.926,295.892,299.74230208333324,27788165831.0,67.40670883349213,1394276.6955164683,165308.04397869576,-64900.75910023126,152778.0,49187.0,23620651.894312605,16.941150899425562,208.0,24.0,486.5027108192444,406.81278097629547,79.68992984294891,13.032093903385942,3474.0,662.0,18160.0,611.0,3381.28,1.0,1.0,3269.735107421875,2465.3798828125,6312.64990234375,1001.9600219726562,5880.14013671875,338241.0,3639233.2337474483,3639233.2337474483,0.3056182661241264,0.3056182661241264,0.0,0.0,317.35698613649913,0.010446403024580029
23,2017-08-11,308.864,36787.81196581197,294.495,309.209,294.495,308.864,300.4403541666668,29013166488.0,78.81671589474205,1192710.254570799,221698.58731818988,-38642.57993700421,153340.0,49079.0,47150566.417347975,39.53228894998787,335.0,21.0,404.6962078809738,359.85952603816986,44.836681842803955,12.281749871283779,3090.0,573.0,21108.0,1947.0,3650.62,6.0,6.0,3237.922119140625,2441.0400390625,6222.18017578125,990.22998046875,5792.31982421875,356682.0,3087365.312888521,3087365.312888521,2.5664693845835065,2.5664693845835065,0.0,0.0,344.4445360046509,0.010347796005033204
24,2017-08-12,310.601,38387.28205128205,308.71,317.56,307.896,310.601,313.06380902777784,29183139234.0,111.52205629751963,843128.4858656555,30913.50449918428,-67459.74983435056,145414.0,40012.0,28055891.418059446,33.27593823288428,47.0,11.0,364.95414638519287,259.96416783332825,104.98997855186462,11.576081051163172,2629.0,533.0,15761.0,18.0,3884.71,5.0,5.0,3227.2960611979165,2445.6800130208335,6250.15673828125,990.2999877929688,5821.09326171875,338654.0,3579029.0436927117,3579029.0436927117,2.942199155830149,2.942199155830149,0.0,0.0,348.0045881479121,0.010308155969375666
25,2017-08-13,298.064,39986.75213675213,310.366,310.816,289.314,298.064,297.5444479166666,28011760530.0,105.72708646596966,889549.3486858143,56755.01500886224,-25430.496438405135,142579.0,45246.0,30940120.71322328,34.78179232991786,14.0,10.0,407.0932211279869,359.51657807826996,47.57664304971695,12.30678366546831,2927.0,587.0,19633.0,37.0,4073.26,4.0,4.0,3216.6700032552085,2450.3199869791665,6278.13330078125,990.3699951171875,5849.86669921875,333011.0,4594214.66530678,4594214.66530678,2.700661602877234,2.700661602877234,0.0,0.0,303.9081709908435,0.010279360048630542
26,2017-08-14,300.097,41586.22222222222,298.031,306.807,296.412,300.097,301.22788194444445,28209451116.0,86.8644329198393,1082969.1263403932,35249.97839925134,-85958.69720187403,179606.0,56270.0,24819603.968103837,22.918108526326435,281.0,28.0,408.31482630968094,297.8004789352417,110.51434737443924,11.179919519763734,3014.0,669.0,21562.0,41.0,4325.13,3.0,3.0,3206.0439453125,2454.9599609375,6306.10986328125,990.4400024414062,5878.64013671875,410061.0,2880372.0130491145,2880372.0130491145,1.6988840274977757,1.6988840274977757,0.0,0.0,346.7078253685374,0.010247323832830169
27,2017-08-15,289.818,43185.692307692305,299.952,300.409,279.327,289.818,291.2902916666666,27249639651.0,87.84862154525135,1071089.3124917597,107106.97210173304,-95222.42601819112,176566.0,59220.0,19955116.086221583,18.63067426168889,300.0,26.0,425.97767347097397,338.67930817604065,87.29836529493332,11.62629627411635,3105.0,589.0,20775.0,59.0,4181.93,3.0,3.0,3235.22998046875,2468.659912109375,6350.509765625,999.8900146484375,5917.2900390625,413246.0,3629174.1713765194,3629174.1713765194,1.1525509112615504,1.1525509112615504,0.0,0.0,385.00099468808946,0.010207253138589901
28,2017-08-16,302.267,44785.16239316239,289.819,303.413,285.385,302.267,296.11739583333326,28426961862.0,52.14022736391747,1805060.966240304,187229.579141576,-23188.46087577077,174842.0,52499.0,16093948.43979187,8.916013775035182,407.0,33.0,491.8133354783058,385.664497256279,106.14883822202682,12.118973003198938,3306.0,821.0,17180.0,96.0,4376.63,1.0,1.0,3247.85302734375,2468.6298828125,6348.10986328125,1003.1699829101562,5920.68017578125,413624.0,3201285.6183440466,3201285.6183440466,0.44748517039570973,0.44748517039570973,0.0,0.0,1160.3663543421485,0.010078759820291966
29,2017-08-17,301.457,46384.63247863248,302.805,311.028,300.25,301.457,305.18778819444447,28357573570.0,73.12444655326252,1287378.2516177124,54141.58170580312,-121529.69289678945,178449.0,56906.0,15779389.784991201,12.256995770396554,202.0,23.0,471.91821479797363,359.06218057870865,112.85603421926498,11.350480662941841,2968.0,788.0,18043.0,61.0,4331.69,2.0,2.0,3253.845947265625,2462.949951171875,6322.72021484375,1004.4099731445312,5896.31982421875,428007.0,3016994.1318330644,3016994.1318330644,0.7912571278822519,0.7912571278822519,0.0,0.0,698.9414504666952,0.010033955756565805
30,2017-08-18,295.59,47984.10256410256,301.697,307.96,292.499,295.59,301.71128124999973,27812276026.0,80.99222760279281,1162594.676180447,78565.52880292955,-89583.14392847521,188260.0,58916.0,16239834.115973767,13.968612147214438,199.0,24.0,350.5484885573387,262.3699541091919,88.17853444814682,9.97667213380734,2702.0,590.0,18644.0,66.0,4160.62,1.5,1.5,3253.242919921875,2427.639892578125,6222.4599609375,994.5599975585938,5803.89990234375,443356.0,3167089.5497141313,3167089.5497141313,0.6024053587739775,0.6024053587739775,0.0,0.0,1048.6935327945803,0.009995840221098567
31,2017-08-19,297.47,49583.57264957265,296.181,301.667,286.183,297.47,295.2981666666667,27995885730.0,106.49266773339215,884414.8522393476,24429.335664206723,-17192.263795669016,164300.0,43732.0,12258790.060294025,13.860904788334407,20.0,8.0,362.3614655137062,222.83318161964417,139.52828389406204,10.482127077990905,2477.0,492.0,13661.0,37.0,4193.7,1.0,1.0,3260.3556315104165,2426.9265950520835,6220.413248697917,993.8733317057291,5799.61328125,377418.0,2891726.896829932,2891726.896829932,0.39533398325881597,0.39533398325881597,0.0,0.0,468.90727298963634,0.009975987746781816
